'state','none','action','next_state','reward'
0,0,9,0,0
0,0,13,24,-1
0,0,11,22,-1
0,0,0,15,-2
0,0,4,1,-1
0,0,5,6,-2
0,0,4,6,-2
0,0,11,24,-1
0,0,1,15,-2
0,0,12,26,-1
0,0,5,6,-2
0,0,4,6,-2
0,0,11,28,-1
0,0,9,6,-2
0,0,3,0,0
0,0,5,0,0
0,0,1,15,-2
0,0,5,6,-2
0,0,3,12,-2
0,0,12,26,-1
0,0,13,28,-1
0,0,9,6,-2
0,0,9,6,-2
0,5,0,15,-2
0,0,12,22,-1
0,0,12,22,-1
0,0,9,2,-5
0,0,5,0,0
0,0,12,24,-1
0,5,11,22,-1
0,5,3,12,-2
0,5,11,28,-1
0,0,0,15,-2
0,0,4,0,0
0,0,12,26,-1
0,0,3,0,0
0,5,5,0,0
0,5,13,24,-1
0,0,1,15,-2
0,0,12,28,-1
0,5,5,0,0
0,5,3,0,0
0,0,12,28,-1
0,0,11,28,-1
0,0,13,22,-1
0,0,3,1,-1
0,5,11,26,-1
0,0,11,24,-1
0,0,5,1,-1
0,0,13,26,-1
0,0,4,0,0
0,0,13,28,-1
0,0,11,28,-1
0,0,4,1,-1
0,0,11,26,-1
0,0,3,0,0
0,0,4,7,-1
0,0,12,26,-1
0,0,13,28,-1
0,0,1,15,-2
0,0,4,6,-2
0,0,13,22,-1
0,0,9,0,0
0,0,11,22,-1
0,5,11,28,-1
0,0,3,0,0
0,0,3,12,-2
0,0,5,0,0
0,0,4,6,-2
0,0,13,24,-1
0,0,0,15,-2
0,5,12,26,-1
0,0,11,24,-1
0,0,11,22,-1
0,0,3,0,0
0,0,5,1,-1
0,0,0,15,-2
0,0,9,5,2.5
0,0,3,1,-1
0,0,3,16,-5
0,0,4,7,-1
0,0,11,24,-1
0,5,13,28,-1
0,0,9,1,-1
0,0,3,12,-2
0,0,9,0,0
0,0,12,22,-1
0,0,3,12,-2
0,0,12,22,-1
0,0,13,24,-1
0,0,1,15,-2
0,5,3,7,-1
0,0,9,0,0
0,0,11,22,-1
0,0,3,0,0
0,0,3,0,0
0,0,12,24,-1
0,0,1,15,-2
0,0,0,15,-2
0,0,11,22,-1
0,0,9,2,-5
0,0,0,15,-2
0,0,5,0,0
0,0,4,0,0
0,0,9,1,-1
0,0,13,26,-1
0,0,13,24,-1
0,0,12,26,-1
0,5,12,28,-1
0,5,9,1,-1
0,5,11,22,-1
0,5,3,1,-1
0,0,9,2,-5
0,0,9,1,-1
0,0,12,24,-1
0,0,1,15,-2
0,0,13,28,-1
0,0,1,15,-2
0,0,4,0,0
0,0,0,15,-2
0,0,9,1,-1
0,0,1,15,-2
0,0,13,28,-1
0,0,13,24,-1
0,0,3,1,-1
0,0,1,15,-2
0,5,12,28,-1
0,0,13,24,-1
0,0,11,28,-1
0,0,0,15,-2
0,0,4,6,-2
0,0,11,28,-1
0,0,5,0,0
0,0,13,24,-1
0,0,9,0,0
0,0,9,1,-1
0,0,4,1,-1
0,0,0,15,-2
0,5,3,1,-1
0,0,4,7,-1
0,0,0,15,-2
0,0,11,24,-1
0,0,12,28,-1
0,0,9,6,-2
0,0,0,15,-2
0,0,4,6,-2
0,0,11,26,-1
0,0,0,15,-2
0,0,12,28,-1
0,0,4,6,-2
0,0,13,24,-1
0,0,11,24,-1
0,0,12,26,-1
0,0,1,15,-2
0,0,1,15,-2
0,5,4,1,-1
0,5,5,1,-1
0,5,1,15,-2
0,0,12,24,-1
0,0,12,26,-1
0,0,3,7,-1
0,0,11,22,-1
0,0,12,26,-1
0,0,3,1,-1
0,0,11,24,-1
0,0,13,28,-1
0,0,5,7,-1
0,0,3,7,-1
0,0,3,0,0
0,0,0,15,-2
0,0,13,24,-1
0,0,9,7,-1
0,0,5,6,-2
0,0,9,2,-5
0,0,11,26,-1
0,0,11,22,-1
0,0,9,0,0
0,0,9,0,0
0,0,11,26,-1
0,0,9,0,0
0,0,1,15,-2
0,0,4,0,0
0,0,5,1,-1
0,0,12,26,-1
0,0,4,0,0
0,0,12,22,-1
0,0,0,15,-2
0,0,4,2,-5
0,5,11,22,-1
0,5,12,26,-1
0,0,9,0,0
0,0,5,2,-5
0,0,5,1,-1
0,0,5,0,0
0,0,1,15,-2
0,0,9,2,-5
0,0,3,12,-2
0,0,13,26,-1
0,0,3,0,0
0,0,1,15,-2
0,0,1,15,-2
0,0,5,0,0
0,0,0,15,-2
0,0,3,12,-2
0,0,11,26,-1
0,0,1,15,-2
0,0,9,6,-2
0,0,3,0,0
0,0,12,24,-1
0,0,0,15,-2
0,0,4,7,-1
0,0,3,16,-5
0,0,13,26,-1
0,0,13,24,-1
0,0,12,28,-1
0,0,12,24,-1
0,0,11,28,-1
0,0,1,15,-2
0,0,0,15,-2
0,0,11,26,-1
0,0,12,28,-1
0,0,13,24,-1
0,0,11,22,-1
0,0,12,24,-1
0,0,3,0,0
0,0,12,26,-1
0,0,4,0,0
0,0,9,0,0
0,0,12,22,-1
0,0,3,0,0
0,0,1,15,-2
0,0,13,26,-1
0,0,3,0,0
0,0,4,0,0
0,0,9,1,-1
0,0,11,28,-1
0,0,0,15,-2
0,0,0,15,-2
0,0,3,7,-1
0,0,12,28,-1
0,0,3,0,0
0,0,11,24,-1
0,0,4,0,0
0,0,0,15,-2
0,0,4,0,0
0,0,1,15,-2
0,0,9,0,0
0,0,9,0,0
0,0,1,15,-2
0,0,11,26,-1
0,0,4,6,-2
0,0,9,6,-2
0,0,5,0,0
0,0,3,1,-1
0,0,12,24,-1
0,0,5,7,-1
0,0,4,7,-1
0,0,9,2,-5
0,0,3,1,-1
0,0,1,15,-2
0,5,11,22,-1
0,5,0,15,-2
0,5,3,1,-1
0,0,13,24,-1
0,0,11,22,-1
0,5,5,1,-1
0,0,3,12,-2
0,0,1,15,-2
0,0,9,1,-1
0,0,4,6,-2
0,0,11,22,-1
0,0,11,28,-1
0,0,12,22,-1
0,0,11,28,-1
0,0,5,1,-1
0,0,0,15,-2
0,0,13,26,-1
0,0,0,15,-2
0,0,11,26,-1
0,0,4,2,-5
0,0,13,28,-1
0,0,4,0,0
0,0,3,0,0
0,0,12,24,-1
0,0,12,28,-1
0,0,0,15,-2
0,0,1,15,-2
0,0,5,7,-1
0,0,11,28,-1
0,0,4,0,0
0,0,13,22,-1
0,0,9,1,-1
0,0,13,24,-1
0,0,11,22,-1
0,0,4,6,-2
0,0,5,0,0
0,0,13,28,-1
0,0,1,15,-2
0,0,9,6,-2
0,0,11,26,-1
0,0,4,0,0
0,0,0,15,-2
0,0,9,2,-5
0,0,13,26,-1
0,0,4,0,0
0,0,5,7,-1
0,0,12,28,-1
0,0,11,26,-1
0,0,5,1,-1
0,0,0,15,-2
0,0,4,0,0
0,0,0,15,-2
0,0,11,28,-1
0,0,5,6,-2
0,0,3,1,-1
0,0,4,7,-1
0,0,5,2,-5
0,0,3,16,-5
0,0,13,26,-1
0,5,0,15,-2
0,0,0,15,-2
0,0,0,15,-2
0,0,4,0,0
0,0,3,12,-2
0,0,3,12,-2
0,0,11,26,-1
0,0,0,15,-2
0,0,0,15,-2
0,0,12,28,-1
0,0,5,0,0
0,0,5,0,0
0,0,4,0,0
0,0,11,22,-1
0,0,5,0,0
0,0,4,0,0
0,0,5,7,-1
0,0,13,22,-1
0,0,4,1,-1
0,0,3,0,0
0,0,3,12,-2
0,0,0,15,-2
0,0,12,22,-1
0,0,0,15,-2
0,0,13,26,-1
0,0,4,0,0
0,0,3,12,-2
0,0,11,26,-1
0,0,13,22,-1
0,0,5,6,-2
0,0,4,0,0
0,0,0,15,-2
0,5,3,1,-1
0,0,9,2,-5
0,0,12,28,-1
0,0,9,1,-1
0,0,9,2,-5
0,0,1,15,-2
0,0,3,0,0
0,0,11,26,-1
0,0,3,7,-1
0,0,4,0,0
0,0,11,24,-1
0,0,3,0,0
0,0,0,15,-2
0,0,0,15,-2
0,0,4,0,0
0,0,0,15,-2
0,0,5,6,-2
0,0,4,0,0
0,0,9,0,0
0,0,1,15,-2
0,0,9,6,-2
0,0,12,28,-1
0,0,4,6,-2
0,0,5,0,0
0,0,5,0,0
0,0,1,15,-2
0,0,3,1,-1
0,0,0,15,-2
0,0,12,22,-1
0,0,13,24,-1
0,0,3,16,-5
0,5,12,28,-1
0,0,4,0,0
0,0,13,26,-1
0,0,13,24,-1
0,0,4,0,0
0,0,13,28,-1
0,0,11,26,-1
0,0,13,24,-1
0,0,9,1,-1
0,0,5,0,0
0,0,1,15,-2
0,0,13,22,-1
0,0,0,15,-2
0,5,3,4,2.5
0,5,1,15,-2
1,5,0,17,6
0,5,9,2,-5
0,5,3,16,-5
0,5,3,1,-1
0,0,3,12,-2
0,0,3,0,0
0,0,9,0,0
0,0,12,22,-1
0,0,0,15,-2
0,0,11,28,-1
0,5,9,7,-1
0,0,3,0,0
0,0,11,26,-1
0,0,13,22,-1
0,0,3,0,0
0,0,0,15,-2
0,0,13,26,-1
0,0,12,28,-1
0,0,13,26,-1
0,0,11,24,-1
0,0,11,22,-1
0,5,11,28,-1
0,0,11,26,-1
0,0,0,15,-2
0,0,1,15,-2
0,0,1,15,-2
0,0,9,2,-5
0,0,1,15,-2
0,0,13,28,-1
0,0,3,7,-1
0,0,9,2,-5
0,0,0,15,-2
0,0,11,26,-1
0,0,11,24,-1
0,0,12,26,-1
0,0,11,22,-1
0,0,11,28,-1
0,0,13,26,-1
0,0,5,2,-5
0,0,4,0,0
0,0,4,6,-2
0,0,3,12,-2
0,0,5,0,0
0,0,1,15,-2
0,0,13,22,-1
0,0,9,7,-1
0,0,3,7,-1
0,0,5,0,0
0,0,9,0,0
0,0,5,0,0
0,0,13,22,-1
0,0,12,24,-1
0,0,13,26,-1
0,0,1,15,-2
0,0,13,22,-1
0,0,4,2,-5
0,0,11,26,-1
0,0,1,15,-2
0,0,12,28,-1
0,0,9,0,0
0,0,4,6,-2
0,0,11,26,-1
0,0,3,12,-2
0,0,0,15,-2
0,0,5,0,0
0,0,12,28,-1
0,0,0,15,-2
0,0,3,12,-2
0,0,9,0,0
0,0,9,6,-2
0,0,3,12,-2
0,0,12,24,-1
0,0,9,0,0
0,0,1,15,-2
0,0,0,15,-2
0,0,13,22,-1
0,0,0,15,-2
0,0,5,0,0
0,0,5,7,-1
0,0,1,15,-2
0,0,5,0,0
0,0,11,22,-1
0,0,5,0,0
0,0,4,0,0
0,0,3,12,-2
0,0,3,0,0
0,0,5,6,-2
0,0,9,0,0
0,0,1,15,-2
0,0,11,28,-1
0,0,9,0,0
0,0,9,0,0
0,0,3,12,-2
0,0,1,15,-2
0,0,1,15,-2
0,0,0,15,-2
0,0,12,24,-1
0,5,13,28,-1
0,5,3,7,-1
0,0,0,15,-2
0,0,0,15,-2
0,0,3,12,-2
0,0,3,0,0
0,0,12,26,-1
0,0,0,15,-2
0,0,13,22,-1
0,0,4,1,-1
0,0,1,15,-2
0,0,11,28,-1
0,0,9,2,-5
0,0,0,15,-2
0,0,9,2,-5
0,0,0,15,-2
0,0,3,16,-5
0,0,12,26,-1
0,0,12,28,-1
0,0,1,15,-2
0,0,3,7,-1
0,0,5,0,0
0,0,4,2,-5
0,5,9,7,-1
0,0,12,22,-1
0,0,1,15,-2
0,0,11,28,-1
0,0,13,24,-1
0,0,4,6,-2
0,0,0,15,-2
0,0,1,15,-2
0,0,5,6,-2
0,0,4,6,-2
0,0,12,26,-1
0,0,0,15,-2
0,0,11,24,-1
0,0,0,15,-2
0,0,12,26,-1
0,0,9,6,-2
0,0,12,24,-1
0,0,9,0,0
0,0,11,28,-1
0,0,0,15,-2
0,0,0,15,-2
0,0,13,26,-1
0,0,11,24,-1
0,0,9,0,0
0,0,3,0,0
0,0,9,5,2.5
0,0,9,0,0
0,0,11,22,-1
0,0,12,26,-1
0,5,11,24,-1
0,0,4,0,0
0,0,5,0,0
0,0,0,15,-2
0,0,4,0,0
0,0,9,1,-1
0,0,12,26,-1
0,0,11,24,-1
0,5,12,26,-1
0,0,5,0,0
0,5,12,28,-1
0,0,12,22,-1
0,0,9,10,-1
0,0,0,15,-2
0,0,1,15,-2
0,0,0,15,-2
0,0,0,15,-2
0,0,12,24,-1
0,0,1,15,-2
0,0,11,28,-1
0,0,0,15,-2
0,0,13,22,-1
0,0,11,26,-1
0,0,1,15,-2
0,0,1,15,-2
0,0,5,0,0
0,0,1,15,-2
0,0,13,22,-1
0,0,1,15,-2
0,0,1,15,-2
0,0,4,0,0
0,0,3,0,0
0,0,0,15,-2
0,0,0,15,-2
0,0,12,22,-1
0,0,3,0,0
0,0,4,1,-1
0,0,3,1,-1
0,0,12,28,-1
0,0,0,15,-2
0,0,11,26,-1
0,0,1,15,-2
0,0,9,0,0
0,0,0,15,-2
0,0,9,0,0
0,0,1,15,-2
0,0,4,0,0
0,0,9,0,0
0,0,1,15,-2
0,0,9,0,0
0,0,11,28,-1
0,0,0,15,-2
0,0,12,22,-1
0,0,9,7,-1
0,0,12,22,-1
0,0,4,1,-1
0,0,11,28,-1
0,0,11,28,-1
0,0,9,0,0
0,0,4,6,-2
0,0,12,22,-1
0,0,13,26,-1
0,0,12,28,-1
0,0,3,0,0
0,0,4,6,-2
0,0,3,12,-2
0,0,0,15,-2
0,0,1,15,-2
0,0,13,24,-1
0,0,0,15,-2
0,0,12,24,-1
0,0,13,28,-1
0,0,3,12,-2
0,0,0,15,-2
0,0,12,22,-1
0,0,0,15,-2
0,0,9,7,-1
0,0,5,0,0
0,0,5,0,0
0,0,5,0,0
0,0,12,22,-1
0,0,11,26,-1
0,0,11,26,-1
0,0,11,24,-1
0,0,4,0,0
0,0,0,15,-2
0,0,13,24,-1
0,0,1,15,-2
0,0,9,0,0
0,5,12,26,-1
0,0,1,15,-2
0,0,4,0,0
0,0,4,7,-1
0,0,1,15,-2
0,0,5,0,0
0,0,9,2,-5
0,0,11,24,-1
0,0,13,28,-1
0,0,1,15,-2
0,0,3,0,0
0,0,1,15,-2
0,0,1,15,-2
0,0,9,0,0
0,0,9,6,-2
0,0,4,6,-2
0,0,11,26,-1
0,0,11,24,-1
0,0,0,15,-2
0,0,5,7,-1
0,0,9,6,-2
0,0,13,28,-1
0,0,0,15,-2
0,0,1,15,-2
0,0,3,0,0
0,0,1,15,-2
0,0,11,26,-1
0,0,9,6,-2
0,0,12,28,-1
0,0,13,24,-1
0,0,5,0,0
0,0,4,0,0
0,0,11,22,-1
0,0,4,7,-1
0,0,0,15,-2
0,0,13,26,-1
0,0,0,15,-2
0,0,0,15,-2
0,0,11,26,-1
0,0,13,22,-1
0,0,9,0,0
0,0,12,24,-1
0,0,12,24,-1
0,0,5,0,0
0,0,9,0,0
0,0,12,24,-1
0,5,9,1,-1
0,5,9,4,2.5
0,5,4,1,-1
0,5,1,15,-2
0,0,12,28,-1
0,0,13,22,-1
0,5,12,24,-1
0,5,1,15,-2
0,5,9,3,2
0,0,1,15,-2
0,5,0,15,-2
0,0,9,0,0
0,5,9,1,-1
0,0,9,1,-1
0,0,12,24,-1
0,0,5,0,0
0,0,4,2,-5
0,5,12,26,-1
0,0,4,1,-1
0,0,5,0,0
0,0,3,16,-5
0,5,3,10,-1
0,5,1,15,-2
0,0,0,15,-2
1,5,0,17,6
0,0,11,24,-1
0,0,4,0,0
0,0,3,0,0
0,0,0,15,-2
0,0,9,6,-2
0,0,13,28,-1
0,0,5,6,-2
0,0,13,24,-1
0,0,3,12,-2
0,0,0,15,-2
0,0,11,26,-1
0,0,12,28,-1
0,0,11,26,-1
0,0,11,24,-1
0,0,0,15,-2
0,0,0,15,-2
0,0,1,15,-2
0,0,9,0,0
0,0,1,15,-2
0,0,11,26,-1
0,0,4,6,-2
0,0,13,22,-1
0,0,11,22,-1
0,0,3,0,0
0,0,12,26,-1
0,0,4,6,-2
0,0,3,12,-2
0,0,4,6,-2
0,0,13,22,-1
0,0,12,22,-1
0,0,13,28,-1
0,0,12,22,-1
0,0,12,24,-1
0,0,9,0,0
0,0,13,28,-1
0,0,5,0,0
0,0,4,0,0
0,0,12,22,-1
0,0,13,26,-1
0,0,4,0,0
0,0,12,22,-1
0,0,11,28,-1
0,0,4,7,-1
0,0,1,15,-2
0,5,11,26,-1
0,0,5,0,0
0,0,13,22,-1
0,0,3,16,-5
0,0,13,26,-1
0,0,4,1,-1
0,0,3,0,0
0,0,13,24,-1
0,0,0,15,-2
0,0,4,7,-1
0,0,5,2,-5
0,0,1,15,-2
0,0,11,24,-1
0,0,13,28,-1
0,0,12,28,-1
0,0,9,0,0
0,0,5,0,0
0,0,4,6,-2
0,0,9,0,0
0,0,5,7,-1
0,0,5,0,0
0,0,11,26,-1
0,0,0,15,-2
0,0,9,0,0
0,0,11,26,-1
0,0,0,15,-2
0,0,13,22,-1
0,0,0,15,-2
0,5,13,26,-1
0,0,13,22,-1
0,5,11,28,-1
0,0,0,15,-2
0,0,4,6,-2
0,0,13,22,-1
0,0,11,28,-1
0,0,0,15,-2
0,0,5,0,0
0,0,11,24,-1
0,0,11,28,-1
0,0,11,26,-1
0,0,13,28,-1
0,0,12,22,-1
0,0,0,15,-2
0,0,0,15,-2
0,0,1,15,-2
0,0,11,28,-1
0,0,5,1,-1
0,0,13,26,-1
0,0,11,24,-1
0,5,1,15,-2
0,0,1,15,-2
0,0,0,15,-2
0,0,12,28,-1
0,0,0,15,-2
0,5,13,24,-1
0,0,3,0,0
0,0,5,0,0
0,0,4,7,-1
0,0,0,15,-2
0,0,13,22,-1
0,0,5,0,0
0,0,0,15,-2
0,0,5,0,0
0,0,12,22,-1
0,0,13,28,-1
0,0,5,0,0
0,0,13,24,-1
0,0,0,15,-2
0,0,5,1,-1
0,0,5,1,-1
0,0,9,0,0
0,0,11,28,-1
0,0,4,0,0
0,0,9,0,0
0,0,9,1,-1
0,0,12,24,-1
0,0,4,0,0
0,0,12,24,-1
0,0,1,15,-2
0,0,5,0,0
0,5,3,7,-1
0,0,12,24,-1
0,0,11,28,-1
0,0,5,0,0
0,0,11,26,-1
0,0,12,22,-1
0,0,5,0,0
0,0,4,6,-2
0,0,1,15,-2
0,0,5,0,0
0,0,12,24,-1
0,0,1,15,-2
0,0,5,6,-2
0,0,4,6,-2
0,0,11,28,-1
0,0,1,15,-2
0,0,11,26,-1
0,0,9,2,-5
0,0,11,24,-1
0,0,12,24,-1
0,0,9,7,-1
0,0,5,7,-1
0,0,0,15,-2
0,0,3,1,-1
0,0,1,15,-2
0,0,9,2,-5
0,0,12,24,-1
0,5,9,1,-1
0,5,0,15,-2
0,5,3,1,-1
0,0,5,7,-1
0,0,9,6,-2
0,0,1,15,-2
0,0,4,6,-2
0,0,5,6,-2
0,0,0,15,-2
0,0,11,26,-1
0,0,12,28,-1
0,0,4,6,-2
0,0,1,15,-2
0,0,9,0,0
0,0,0,15,-2
0,0,13,26,-1
0,0,12,28,-1
0,0,4,6,-2
0,0,11,28,-1
0,0,11,26,-1
0,0,3,0,0
0,0,3,0,0
0,0,3,1,-1
0,5,4,1,-1
0,0,9,0,0
0,0,3,0,0
0,0,11,24,-1
0,0,4,0,0
0,0,3,0,0
0,0,5,0,0
0,0,0,15,-2
0,0,0,15,-2
0,0,3,0,0
0,0,0,15,-2
0,0,12,26,-1
0,0,5,6,-2
0,0,12,28,-1
0,0,0,15,-2
0,0,1,15,-2
0,0,3,12,-2
0,0,9,3,2
0,0,0,15,-2
0,0,5,0,0
0,0,1,15,-2
0,0,5,0,0
0,0,1,15,-2
0,0,1,15,-2
0,0,4,6,-2
0,0,9,0,0
0,0,5,0,0
0,0,13,22,-1
0,0,5,1,-1
0,0,1,15,-2
0,0,13,22,-1
0,5,9,3,2
0,0,3,16,-5
0,5,11,22,-1
0,0,12,24,-1
0,0,13,22,-1
0,5,13,26,-1
0,0,11,24,-1
0,0,3,0,0
0,0,12,24,-1
0,0,4,6,-2
0,0,12,24,-1
0,0,3,0,0
0,0,4,0,0
0,0,1,15,-2
0,0,5,0,0
0,0,9,6,-2
0,0,0,15,-2
0,0,0,15,-2
0,0,5,0,0
0,0,3,0,0
0,0,9,6,-2
0,0,0,15,-2
0,0,5,1,-1
0,0,5,1,-1
0,0,9,6,-2
0,0,3,12,-2
0,0,1,15,-2
0,0,11,28,-1
0,0,0,15,-2
0,0,0,15,-2
0,0,9,6,-2
0,0,9,6,-2
0,5,1,15,-2
0,0,5,0,0
0,0,3,0,0
0,0,9,0,0
0,5,3,0,0
0,0,0,15,-2
0,0,4,7,-1
0,0,1,15,-2
0,0,11,24,-1
0,0,11,22,-1
0,0,12,22,-1
0,0,5,7,-1
0,0,12,24,-1
0,0,11,22,-1
0,0,11,28,-1
0,0,3,0,0
0,0,9,0,0
0,0,0,15,-2
0,0,0,15,-2
0,0,1,15,-2
0,0,12,26,-1
0,0,13,22,-1
0,0,0,15,-2
0,0,12,24,-1
0,0,11,22,-1
0,0,4,0,0
0,0,1,15,-2
0,0,9,10,-1
0,0,5,7,-1
0,0,1,15,-2
0,0,1,15,-2
0,0,3,0,0
0,0,11,26,-1
0,5,13,22,-1
0,5,11,22,-1
0,0,9,0,0
0,0,3,7,-1
0,5,12,24,-1
0,0,12,26,-1
0,0,13,22,-1
0,0,1,15,-2
0,0,9,2,-5
0,0,0,15,-2
0,0,12,22,-1
0,0,4,0,0
0,0,3,12,-2
0,0,11,28,-1
0,0,5,7,-1
0,0,11,28,-1
0,0,3,12,-2
0,0,5,7,-1
0,0,11,28,-1
0,0,13,24,-1
0,0,12,24,-1
0,0,9,2,-5
0,0,12,28,-1
0,0,13,26,-1
0,0,11,26,-1
0,5,9,7,-1
0,0,13,22,-1
0,5,5,7,-1
0,0,9,0,0
0,0,0,15,-2
0,0,3,16,-5
0,0,1,15,-2
0,0,5,0,0
0,0,11,26,-1
0,0,9,0,0
0,0,12,28,-1
0,0,5,0,0
0,0,11,26,-1
0,0,9,6,-2
0,0,1,15,-2
0,0,13,22,-1
0,0,0,15,-2
0,0,3,12,-2
0,0,11,24,-1
0,0,11,22,-1
0,0,11,28,-1
0,0,11,26,-1
0,0,4,1,-1
0,0,1,15,-2
0,0,4,0,0
0,0,11,24,-1
0,0,0,15,-2
0,0,5,0,0
0,0,1,15,-2
0,0,1,15,-2
0,0,4,0,0
0,0,13,24,-1
0,0,11,22,-1
0,5,0,15,-2
0,5,5,7,-1
0,0,13,24,-1
0,5,3,7,-1
0,0,12,26,-1
0,0,3,1,-1
0,5,4,4,2.5
0,5,3,3,2
0,0,1,15,-2
0,0,11,26,-1
0,0,9,0,0
0,0,1,15,-2
0,0,4,6,-2
0,0,9,0,0
0,0,12,24,-1
0,0,1,15,-2
0,0,11,24,-1
0,0,3,12,-2
0,0,9,0,0
0,0,11,22,-1
0,0,9,0,0
0,0,11,22,-1
0,0,13,24,-1
0,0,0,15,-2
0,0,0,15,-2
0,0,11,28,-1
0,0,3,3,2
0,0,1,15,-2
0,0,4,2,-5
0,5,1,15,-2
0,5,3,1,-1
0,0,13,24,-1
0,0,1,15,-2
0,5,12,26,-1
0,0,5,3,2
0,0,0,15,-2
0,0,4,0,0
0,0,11,26,-1
0,0,12,28,-1
0,0,11,26,-1
0,0,9,0,0
0,0,0,15,-2
0,0,13,22,-1
0,0,12,24,-1
0,0,4,0,0
0,0,9,0,0
0,0,11,26,-1
0,0,9,0,0
0,0,3,0,0
0,0,9,6,-2
0,0,4,0,0
0,0,12,26,-1
0,0,4,6,-2
0,0,4,6,-2
0,0,5,6,-2
0,0,1,15,-2
0,0,12,24,-1
0,0,1,15,-2
0,0,11,22,-1
0,0,3,3,2
0,0,13,24,-1
0,0,13,28,-1
0,0,11,24,-1
0,0,4,6,-2
0,0,1,15,-2
0,0,0,15,-2
0,0,5,0,0
0,0,9,0,0
0,0,11,28,-1
0,0,9,0,0
0,0,4,7,-1
0,0,11,26,-1
0,0,5,0,0
0,0,9,3,2
0,0,0,15,-2
0,0,3,12,-2
0,0,0,15,-2
0,0,4,0,0
0,0,13,22,-1
0,0,0,15,-2
0,0,13,26,-1
0,0,12,28,-1
0,0,3,1,-1
0,0,11,26,-1
0,0,4,6,-2
0,0,11,26,-1
0,0,13,24,-1
0,0,12,28,-1
0,0,9,0,0
0,0,9,6,-2
0,0,13,28,-1
0,0,12,24,-1
0,0,11,22,-1
0,0,9,6,-2
0,0,4,0,0
0,0,3,12,-2
0,0,3,12,-2
0,0,9,6,-2
0,0,3,12,-2
0,0,4,0,0
0,0,12,24,-1
0,0,3,0,0
0,0,1,15,-2
0,0,13,26,-1
0,0,13,22,-1
0,0,4,0,0
0,0,11,28,-1
0,0,3,0,0
0,0,1,15,-2
0,0,11,24,-1
0,0,9,0,0
0,0,12,26,-1
0,0,9,0,0
0,0,5,6,-2
0,0,5,0,0
0,0,1,15,-2
0,0,9,0,0
0,0,11,22,-1
0,0,11,28,-1
0,0,4,11,2
0,0,4,1,-1
0,0,1,15,-2
0,0,4,7,-1
0,0,5,0,0
0,0,12,24,-1
0,0,5,2,-5
0,0,0,15,-2
0,5,3,1,-1
0,0,5,2,-5
0,0,3,1,-1
0,0,4,6,-2
0,0,13,26,-1
0,0,11,24,-1
0,0,9,2,-5
0,0,12,24,-1
0,0,1,15,-2
0,0,9,6,-2
0,0,9,6,-2
0,0,11,28,-1
0,0,11,26,-1
0,0,5,0,0
0,0,4,0,0
0,0,9,0,0
0,0,12,22,-1
0,0,4,0,0
0,0,3,0,0
0,0,5,1,-1
0,0,4,0,0
0,0,0,15,-2
0,0,5,2,-5
0,0,3,16,-5
0,0,1,15,-2
0,0,3,3,2
0,0,0,15,-2
0,0,11,22,-1
0,0,13,24,-1
0,0,5,0,0
0,0,5,0,0
0,0,0,15,-2
0,0,4,6,-2
0,0,9,0,0
0,0,4,6,-2
0,0,0,15,-2
0,0,5,0,0
0,0,11,22,-1
0,0,12,24,-1
0,0,1,15,-2
0,0,0,15,-2
0,0,0,15,-2
0,0,13,24,-1
0,0,9,0,0
0,0,9,0,0
0,0,5,6,-2
0,0,4,3,2
0,0,12,22,-1
0,0,12,24,-1
0,0,12,26,-1
0,0,0,15,-2
0,0,4,0,0
0,0,13,22,-1
0,0,12,24,-1
0,0,13,28,-1
0,0,11,26,-1
0,0,11,22,-1
0,0,0,15,-2
0,0,13,26,-1
0,0,3,0,0
0,0,3,12,-2
0,0,0,15,-2
0,0,11,24,-1
0,0,13,28,-1
0,0,5,6,-2
0,0,11,24,-1
0,0,12,24,-1
0,0,12,28,-1
0,0,3,0,0
0,0,4,1,-1
0,0,5,0,0
0,0,3,3,2
0,0,9,1,-1
0,0,0,15,-2
0,0,1,15,-2
0,0,0,15,-2
0,0,3,0,0
0,0,13,22,-1
0,0,5,0,0
0,0,0,15,-2
0,0,1,15,-2
0,0,1,15,-2
0,0,9,6,-2
0,0,9,0,0
0,0,13,26,-1
0,0,13,28,-1
0,0,3,4,2.5
0,5,11,26,-1
0,5,13,28,-1
0,5,1,15,-2
0,0,13,22,-1
0,5,12,24,-1
0,5,12,26,-1
0,0,5,0,0
0,0,1,15,-2
0,0,5,3,2
0,0,12,24,-1
0,0,5,0,0
0,0,1,15,-2
0,0,9,0,0
0,0,3,12,-2
0,0,11,22,-1
0,0,9,0,0
0,0,13,28,-1
0,0,9,3,2
0,0,1,15,-2
0,0,12,24,-1
0,0,0,15,-2
0,0,1,15,-2
0,0,3,12,-2
0,0,5,0,0
0,0,12,26,-1
0,0,4,0,0
0,0,12,28,-1
0,0,0,15,-2
0,0,0,15,-2
0,0,13,22,-1
0,0,9,0,0
0,5,13,26,-1
0,0,9,1,-1
0,0,0,15,-2
0,0,0,15,-2
0,0,5,0,0
0,0,9,0,0
0,0,1,15,-2
0,0,12,22,-1
0,0,0,15,-2
0,0,13,24,-1
0,0,9,6,-2
0,0,3,12,-2
0,0,13,28,-1
0,0,12,22,-1
0,0,9,0,0
0,0,9,3,2
